Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
5.377663301342724e-06,4892.507671395694,450,10.87223926976821,3590.280861568994,-292.1494703975268
5.788380577728074e-06,4870.664257531886,450,10.823698350070856,3568.4374477051856,-313.99288426133535
6.230466251811239e-06,4847.226999689655,450,10.7716155548659,3545.000189862955,-337.43014210356614
6.7063160747103194e-06,4822.085973371581,450,10.7157466074924,3519.8591635448806,-362.5711684216403
7.218508772251754e-06,4795.124730669074,450,10.655832734820164,3492.897920842374,-389.5324111241471
7.769820019603893e-06,4766.220098911071,450,10.591600219802379,3463.9932890843706,-418.4370428821503
8.363237483218501e-06,4735.242011013283,450,10.522760024473964,3433.0152011865835,-449.4151307799375
9.001977011595783e-06,4702.053377414998,450,10.449007505366662,3399.826567588298,-482.6037643782229
9.689500062613683e-06,4666.510011429426,450,10.370022247620948,3364.2832016027264,-518.1471303637945
1.0429532461863896e-05,4628.460622108623,450,10.285468049130275,3326.2338122819233,-556.1965196845977
1.1226084593649443e-05,4587.746891390077,450,10.194993091977947,3285.5200815633766,-596.9102504031443
1.2083473134063267e-05,4544.203655413989,450,10.098230345364419,3241.9768455872886,-640.4534863792323
1.3006344443923627e-05,4497.6592135525225,450,9.994798252338938,3195.4324037258225,-686.9979282406985
1.3999699748337049e-05,4447.93579296179,450,9.88430176213731,3145.70898313509,-736.721348831431
1.5068922239342387e-05,4394.850201454881,450,9.766333781010847,3092.6233916281813,-789.8069403383397
1.6219806248510488e-05,4338.214707316783,450,9.640477127370628,3035.9878974900826,-846.4424344764384
1.745858864759136e-05,4277.83819147547,450,9.506307092167711,2975.61138164877,-906.8189503177509
1.879198264737571e-05,4213.527625365067,450,9.363394723033483,2911.3008155383673,-971.1295164281537
2.0227214177933602e-05,4145.089937050062,450,9.21131097122236,2842.863127223362,-1039.567204743159
2.177206104738152e-05,4072.334338935884,450,9.049631864301965,2770.107529109184,-1112.3228028573371
2.3434895091387887e-05,3995.075202916871,450,8.877944895370824,2692.848393090171,-1189.5819388763498
2.5224727541833037e-05,3913.1355833935036,450,8.695856851985564,2610.9087735668036,-1271.5215583997174
2.715125786048606e-05,3826.351505557502,450,8.503003345683338,2524.124695730802,-1358.3056362357188
2.922492630233721e-05,3734.57715608023,450,8.299060346844955,2432.35034625353,-1450.079985712991
3.145697049343811e-05,3637.6911362921674,450,8.083758080649261,2335.4643264654674,-1546.9660055010536
